Domain,avg_acc,worst_case_acc,best_case_acc
art_painting,62.255859375,60.498046875,64.6484375
cartoon,69.5264505119454,63.43856655290102,71.80034129692832
photo,80.01796407185628,73.47305389221557,82.09580838323353
sketch,66.37566810893358,61.31331127513362,70.01781623822856
