Domain,avg_acc,worst_case_acc,best_case_acc
art_painting,58.623046875,56.4453125,61.1328125
cartoon,66.38225255972698,63.35324232081911,69.7098976109215
photo,77.44311377245509,75.38922155688623,79.04191616766467
sketch,67.15449223721049,64.16390939170272,70.62865869177908
