,mean_accuracy,val_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/lr,config/momentum,config/batch_size,config/weight_decay,config/criterion,config/optimizer,config/betas,config/eps,config/nesterov,should_checkpoint,logdir
0,94.5716154349248,0.17716178602062074,1733356030,checkpoint_000001,False,10,15405_00000,2024-12-05_00-47-10,43.04892897605896,421.054856300354,7760,Peter-Desktop,127.0.0.1,421.054856300354,10,0.001,0.9440604715079909,32,0.000784838649618193,cross_entropy,sgd,"[0.8, 0.888]",1e-06,True,True,15405_00000
1,23.413996075866578,1.9666968090538888,1733355657,,True,1,15405_00001,2024-12-05_00-40-57,47.88915991783142,47.88915991783142,14392,Peter-Desktop,127.0.0.1,47.88915991783142,1,0.01,0.3461809326034961,16,0.00972641451427609,cross_entropy,adamw,"[0.9, 0.999]",1e-08,False,,15405_00001
2,13.53826030085023,2.0173130007332802,1733355710,,True,1,15405_00002,2024-12-05_00-41-50,46.86004424095154,46.86004424095154,9112,Peter-Desktop,127.0.0.1,46.86004424095154,1,1e-05,0.4688713303110895,16,0.007342227246659869,cross_entropy,sgd,"[0.9, 0.999]",1e-08,False,,15405_00002
3,17.069980379332897,2.1357119627603915,1733355760,,True,1,15405_00003,2024-12-05_00-42-40,43.44673538208008,43.44673538208008,24512,Peter-Desktop,127.0.0.1,43.44673538208008,1,1e-05,0.17684630117415473,32,0.0018834472301076865,cross_entropy,sgd,"[0.9, 0.999]",1e-07,False,,15405_00003
4,92.67495094833224,0.21908090693877366,1733356174,checkpoint_000001,False,10,15405_00004,2024-12-05_00-49-34,39.27497863769531,408.1533694267273,10668,Peter-Desktop,127.0.0.1,408.1533694267273,10,0.0001,0.6190439784218849,64,0.0016705693560413277,cross_entropy,adamw,"[0.8, 0.888]",1e-07,True,True,15405_00004
5,21.909744931327666,25.376941206877802,1733356073,,True,1,15405_00005,2024-12-05_00-47-53,36.91151213645935,36.91151213645935,15036,Peter-Desktop,127.0.0.1,36.91151213645935,1,0.01,0.4718206076259559,64,0.002303259067324852,cross_entropy,adamw,"[0.8, 0.888]",1e-08,True,,15405_00005
6,93.19816873773708,0.20837704285228853,1733356238,,True,4,15405_00006,2024-12-05_00-50-38,41.741310358047485,159.03052711486816,24148,Peter-Desktop,127.0.0.1,159.03052711486816,4,0.0001,0.7751627021962769,64,0.003314769211706693,cross_entropy,adamw,"[0.9, 0.999]",1e-06,False,,15405_00006
7,19.097449313276652,1.9424952242092184,1733356227,,True,1,15405_00007,2024-12-05_00-50-27,47.64755153656006,47.64755153656006,22792,Peter-Desktop,127.0.0.1,47.64755153656006,1,0.01,0.7761402557205647,64,0.007677172194914342,cross_entropy,adamw,"[0.85, 0.95]",1e-06,True,,15405_00007
8,22.62916939175932,1.8645051951654756,1733356277,,True,1,15405_00008,2024-12-05_00-51-17,42.95397973060608,42.95397973060608,20316,Peter-Desktop,127.0.0.1,42.95397973060608,1,1e-05,0.8623768589691952,16,0.003200189678804073,cross_entropy,sgd,"[0.8, 0.888]",1e-07,True,,15405_00008
9,93.72138652714192,0.1938820720386513,1733356408,,True,4,15405_00009,2024-12-05_00-53-28,39.8358199596405,164.14863348007202,21732,Peter-Desktop,127.0.0.1,164.14863348007202,4,0.0001,0.5757944615779893,32,0.003984036269256171,cross_entropy,adam,"[0.9, 0.999]",1e-07,True,,15405_00009
