,accuracy,std
resnet18,70.666775379774,6.924096273829487
resnet34,70.1468883591669,7.456507139818907
resnet50,73.12893954302307,9.065600901569914
densenet121,69.77180610766328,8.252085346742009
densenet161,67.40072636109814,7.7243149039962296
resnet18_pt,71.53846954223562,7.536120520419959
resnet34_pt,79.9497481790513,12.019908597813059
resnet50_pt,73.02894975768855,9.547914486447334
densenet121_pt,70.22451070282426,8.112175831292063
densenet161_pt,69.54398551693382,7.5907740515257975
