Domain,avg_acc,worst_case_acc,best_case_acc
art_painting,61.6943359375,59.228515625,65.478515625
cartoon,69.65870307167236,67.4061433447099,72.14163822525597
photo,79.86826347305389,75.20958083832335,81.73652694610779
sketch,69.36625095444133,63.06948332909137,73.14838381267498
